Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR18306583_1	(1.0, 65.58391118802925)	(2.0, 3.0148410372183574)	(3.0, 0.1124771467205705)	(4.0, 0.016037820597798718)	(5.0, 0.008403579132692525)	(6.0, 0.014066170284543381)	(7.0, 0.00847592767845621)	(8.0, 0.00922161028309193)	(9.0, 0.00783629555651985)	('>10', 0.05701164341580738)	('>50', 0.01171843266297298)	('>100', 0.018334065050821635)	('>500', 0.01027672117957705)	('>1k', 0.039951198080466495)	('>5k', 0.0)	('>10k+', 31.087437164109144)
SRR18306583_2	(1.0, 33.967961343138306)	(2.0, 6.139600346193081)	(3.0, 3.1796032356723734)	(4.0, 2.257230220036286)	(5.0, 1.680228199086943)	(6.0, 1.3883461885246255)	(7.0, 1.180213317284878)	(8.0, 0.9920522379148309)	(9.0, 0.8626200442506748)	('>10', 12.520183472083138)	('>50', 5.752113401438621)	('>100', 19.152103691455626)	('>500', 6.081973542328907)	('>1k', 4.530887920236726)	('>5k', 0.24898349499826067)	('>10k+', 0.06589934535669957)
SRR18306584_1	(1.0, 65.87398891796336)	(2.0, 2.7017186813639973)	(3.0, 0.09793938729724139)	(4.0, 0.018843061870500128)	(5.0, 0.011920179951696037)	(6.0, 0.01408986419234042)	(7.0, 0.009909334963858851)	(8.0, 0.008533636161069877)	(9.0, 0.00785920660438485)	('>10', 0.06495951785272787)	('>50', 0.009609566398927143)	('>100', 0.014933149694641518)	('>500', 0.00967742499472404)	('>1k', 0.0411144328519975)	('>5k', 0.0)	('>10k+', 31.11490363783859)
SRR18306584_2	(1.0, 35.32357421872147)	(2.0, 6.310309659089505)	(3.0, 3.1809618978822605)	(4.0, 2.1602437175572278)	(5.0, 1.687687306568887)	(6.0, 1.3163835222519378)	(7.0, 1.158915307437464)	(8.0, 0.9766325134303819)	(9.0, 0.9237376262377583)	('>10', 12.778820023779128)	('>50', 5.896229032929004)	('>100', 19.089719153533203)	('>500', 5.143125428647085)	('>1k', 3.837256304344203)	('>5k', 0.14017362715174392)	('>10k+', 0.0762306604387485)
SRR18306585_1	(1.0, 65.59918679222642)	(2.0, 2.884230454504017)	(3.0, 0.11377558381300351)	(4.0, 0.017425359894945862)	(5.0, 0.011904851277095882)	(6.0, 0.011960630149008894)	(7.0, 0.007068577251450876)	(8.0, 0.0078117501598993664)	(9.0, 0.009988588664645831)	('>10', 0.06334008996528138)	('>50', 0.011143044310683905)	('>100', 0.021607721776389834)	('>500', 0.010076065276191521)	('>1k', 0.032589168870243)	('>5k', 0.0)	('>10k+', 31.197891321860695)
SRR18306585_2	(1.0, 35.30100935549689)	(2.0, 6.161132171976156)	(3.0, 3.222633195513907)	(4.0, 2.1201626024611886)	(5.0, 1.7394727103680978)	(6.0, 1.3820557158536926)	(7.0, 1.1680890120136953)	(8.0, 0.9862690411619487)	(9.0, 0.9294634446495987)	('>10', 12.526746606827958)	('>50', 5.806835877099069)	('>100', 19.198178930825556)	('>500', 5.392495498053619)	('>1k', 3.9048686899824743)	('>5k', 0.08381287755246672)	('>10k+', 0.07677427016369637)
SRR18306586_1	(1.0, 65.6246545719279)	(2.0, 2.873014075542318)	(3.0, 0.11241355131013472)	(4.0, 0.023007717877597145)	(5.0, 0.014010133347264505)	(6.0, 0.009853481339230056)	(7.0, 0.007071438559070974)	(8.0, 0.00852573536268882)	(9.0, 0.007852046039273647)	('>10', 0.05578692845428756)	('>50', 0.01209403000351978)	('>100', 0.015947443388839713)	('>500', 0.010121548277672178)	('>1k', 0.04021915097466262)	('>5k', 0.0)	('>10k+', 31.185428147595484)
SRR18306586_2	(1.0, 35.41267574305255)	(2.0, 6.207604417952237)	(3.0, 3.1681717989801412)	(4.0, 2.1177663526822372)	(5.0, 1.648357537352958)	(6.0, 1.397498164496366)	(7.0, 1.1654095956714168)	(8.0, 1.0225586827686821)	(9.0, 0.9076703416766276)	('>10', 12.546362191713628)	('>50', 5.84946508595093)	('>100', 19.183322461084956)	('>500', 5.263030706975636)	('>1k', 3.9030139107546096)	('>5k', 0.11965213906411488)	('>10k+', 0.08744086982297977)
SRR18306587_1	(1.0, 66.96262153071146)	(2.0, 1.7347408769472927)	(3.0, 0.0571169874852668)	(4.0, 0.022837771216478012)	(5.0, 0.01733472301523798)	(6.0, 0.008771367394903742)	(7.0, 0.003698408891234809)	(8.0, 0.006736352036274269)	(9.0, 0.005301467968352941)	('>10', 0.03343012915724098)	('>50', 0.005319205348382523)	('>100', 0.018824065772299496)	('>500', 0.00957390865495468)	('>1k', 0.02616647131518809)	('>5k', 0.0)	('>10k+', 31.08752673408544)
SRR18306587_2	(1.0, 41.2814039650818)	(2.0, 6.459475559355875)	(3.0, 3.2912865621102454)	(4.0, 2.2822907591446024)	(5.0, 1.731656134927455)	(6.0, 1.3264338564008196)	(7.0, 1.1413877843631135)	(8.0, 1.025460610314362)	(9.0, 0.8627486854877843)	('>10', 14.041254492592756)	('>50', 8.284226261542232)	('>100', 15.060661627884752)	('>500', 2.0858612199092823)	('>1k', 1.1258524808848438)	('>5k', 0.0)	('>10k+', 0.0)
